Vthermistor,Vreference
2.661030,4.989330
2.661005,4.989336
2.661021,4.989333
2.661005,4.989328
2.660981,4.989330
2.660993,4.989328
2.660970,4.989345
2.660995,4.989336
2.660966,4.989332
2.660979,4.989355
2.660972,4.989337
2.660959,4.989332
2.660943,4.989328
2.660934,4.989342
2.660952,4.989342
2.660913,4.989327
2.660922,4.989331
2.660885,4.989314
2.660887,4.989315
2.660861,4.989295
2.660873,4.989299
2.660840,4.989295
2.660799,4.989285
2.660822,4.989265
2.660772,4.989270
2.660803,4.989252
2.660760,4.989262
2.660753,4.989254
2.660761,4.989240
2.660728,4.989250
2.660749,4.989251
2.660729,4.989245
2.660726,4.989253
2.660714,4.989250
2.660691,4.989257
2.660686,4.989243
2.660656,4.989251
2.660660,4.989234
2.660621,4.989228
2.660626,4.989214
2.660607,4.989216
2.660613,4.989221
2.660595,4.989226
2.660606,4.989232
2.660583,4.989240
2.660623,4.989251
2.660611,4.989260
2.660590,4.989269
2.660609,4.989289
2.660596,4.989307
2.660623,4.989302
2.660588,4.989325
2.660605,4.989330
2.660575,4.989328
2.660571,4.989327
2.660556,4.989333
2.660561,4.989327
2.660542,4.989320
2.660512,4.989315
2.660507,4.989315
2.660512,4.989325
2.660502,4.989337
2.660469,4.989333
2.660475,4.989321
2.660438,4.989308
2.660456,4.989308
2.660424,4.989296
2.660424,4.989290
2.660390,4.989278
2.660397,4.989280
2.660375,4.989269
2.660363,4.989274
2.660331,4.989256
2.660339,4.989258
2.660322,4.989270
2.660307,4.989264
2.660307,4.989256
2.660266,4.989256
2.660278,4.989257
2.660247,4.989253
2.660238,4.989239
2.660222,4.989231
2.660205,4.989245
2.660205,4.989244
2.660192,4.989235
2.660196,4.989235
2.660129,4.989238
2.660161,4.989238
2.660105,4.989226
2.660112,4.989219
2.660100,4.989225
2.660089,4.989246
2.660071,4.989207
2.660048,4.989218
2.660055,4.989215
2.660017,4.989213
2.660041,4.989208
2.660021,4.989213
2.660016,4.989215
2.659996,4.989221
2.660018,4.989232
2.659998,4.989238
2.659999,4.989257
2.659998,4.989257
2.659981,4.989274
2.659997,4.989271
2.659975,4.989300
2.659949,4.989283
2.659961,4.989314
2.659936,4.989331
2.659907,4.989338
2.659979,4.989309
2.659903,4.989340
2.659945,4.989328
2.659943,4.989346
2.659881,4.989362
2.659836,4.989361
2.659874,4.989351
2.659818,4.989375
2.659870,4.989351
2.659810,4.989371
2.659863,4.989347
2.659851,4.989349
2.659769,4.989373
2.659825,4.989358
2.659752,4.989367
2.659746,4.989369
2.659771,4.989356
2.659720,4.989370
2.659707,4.989359
2.659730,4.989355
2.659730,4.989361
2.659684,4.989373
2.659708,4.989346
2.659657,4.989355
